total_loss 0.00208048359491,loss_cham 0.00207696063444,delta_strain 0.00079102051677, dleta_sigma: 0.00218666670844, strain_energy: 0.05453144013882
total_loss 0.00189175375272,loss_cham 0.00188635033555,delta_strain 0.00078979897080, dleta_sigma: 0.00387935643084, strain_energy: 0.07343870401382
total_loss 0.00187380774878,loss_cham 0.00186896696687,delta_strain 0.00078627991024, dleta_sigma: 0.00336146820337, strain_energy: 0.06930589675903
total_loss 0.00253549590707,loss_cham 0.00253146886826,delta_strain 0.00078212120570, dleta_sigma: 0.00262195058167, strain_energy: 0.06229939311743
total_loss 0.00456909649074,loss_cham 0.00456365011632,delta_strain 0.00077854224946, dleta_sigma: 0.00390755012631, strain_energy: 0.07606370747089
total_loss 0.00408317707479,loss_cham 0.00407843664289,delta_strain 0.00077709346078, dleta_sigma: 0.00327092991211, strain_energy: 0.06923492252827
total_loss 0.00311101437546,loss_cham 0.00310739804991,delta_strain 0.00077451497782, dleta_sigma: 0.00226317415945, strain_energy: 0.05785515904427
total_loss 0.00519711151719,loss_cham 0.00519219134003,delta_strain 0.00077379459981, dleta_sigma: 0.00342503143474, strain_energy: 0.07214550673962
total_loss 0.00078834168380,loss_cham 0.00078443181701,delta_strain 0.00076966395136, dleta_sigma: 0.00252117007039, strain_energy: 0.06190649420023
total_loss 0.00376905733719,loss_cham 0.00376327009872,delta_strain 0.00076819153037, dleta_sigma: 0.00421049539000, strain_energy: 0.08086623996496
total_loss 0.00243348069489,loss_cham 0.00242827436887,delta_strain 0.00076496973634, dleta_sigma: 0.00368079170585, strain_energy: 0.07603136450052
total_loss 0.00208109454252,loss_cham 0.00207618810236,delta_strain 0.00076101440936, dleta_sigma: 0.00340927159414, strain_energy: 0.07358819246292
total_loss 0.00188897305634,loss_cham 0.00188453448936,delta_strain 0.00075811217539, dleta_sigma: 0.00298670050688, strain_energy: 0.06937318295240
total_loss 0.00187352183275,loss_cham 0.00186764157843,delta_strain 0.00075347005622, dleta_sigma: 0.00428634556010, strain_energy: 0.08405310660601
total_loss 0.00253498530947,loss_cham 0.00253113126382,delta_strain 0.00075155589730, dleta_sigma: 0.00245257443748, strain_energy: 0.06498762965202
total_loss 0.00456585036591,loss_cham 0.00456156022847,delta_strain 0.00074772996595, dleta_sigma: 0.00284413201734, strain_energy: 0.06978692859411
total_loss 0.00408050185069,loss_cham 0.00407608877867,delta_strain 0.00074570643483, dleta_sigma: 0.00295819388703, strain_energy: 0.07092079520226
total_loss 0.00311063346453,loss_cham 0.00310588371940,delta_strain 0.00074382562889, dleta_sigma: 0.00325872981921, strain_energy: 0.07471725344658
total_loss 0.00519757857546,loss_cham 0.00519171124324,delta_strain 0.00074126588879, dleta_sigma: 0.00426189228892, strain_energy: 0.08642732352018
total_loss 0.00078870478319,loss_cham 0.00078466214472,delta_strain 0.00073905283352, dleta_sigma: 0.00262561952695, strain_energy: 0.06779284775257
total_loss 0.00376918260008,loss_cham 0.00376488058828,delta_strain 0.00073456653627, dleta_sigma: 0.00285213533789, strain_energy: 0.07152692973614
total_loss 0.00243435427547,loss_cham 0.00242934213020,delta_strain 0.00073279120261, dleta_sigma: 0.00348427938297, strain_energy: 0.07950142025948
total_loss 0.00207884190604,loss_cham 0.00207474175841,delta_strain 0.00072893936886, dleta_sigma: 0.00267053488642, strain_energy: 0.07005884498358
total_loss 0.00188468710985,loss_cham 0.00188137835357,delta_strain 0.00072470173473, dleta_sigma: 0.00197812984698, strain_energy: 0.06058878079057
total_loss 0.00186906883027,loss_cham 0.00186523352750,delta_strain 0.00072299229214, dleta_sigma: 0.00243106950074, strain_energy: 0.06813090294600
total_loss 0.00253620999865,loss_cham 0.00253146095201,delta_strain 0.00071796640987, dleta_sigma: 0.00323096755892, strain_energy: 0.07998959720135
total_loss 0.00456451112404,loss_cham 0.00455932039768,delta_strain 0.00071628188016, dleta_sigma: 0.00362710189074, strain_energy: 0.08473800122738
total_loss 0.00407794443890,loss_cham 0.00407393649220,delta_strain 0.00071282661520, dleta_sigma: 0.00258227949962, strain_energy: 0.07126988470554
total_loss 0.00311000319198,loss_cham 0.00310459872708,delta_strain 0.00071026105434, dleta_sigma: 0.00382398604415, strain_energy: 0.08701059222221
total_loss 0.00519599812105,loss_cham 0.00519101368263,delta_strain 0.00070945284097, dleta_sigma: 0.00343998381868, strain_energy: 0.08347870409489
total_loss 0.00078973913332,loss_cham 0.00078399595805,delta_strain 0.00070735765621, dleta_sigma: 0.00412093847990, strain_energy: 0.09149003773928
total_loss 0.00376849621534,loss_cham 0.00376449665055,delta_strain 0.00070498988498, dleta_sigma: 0.00256534502842, strain_energy: 0.07291658222675
total_loss 0.00243508978747,loss_cham 0.00242966529913,delta_strain 0.00069987610914, dleta_sigma: 0.00382898654789, strain_energy: 0.08957995474339
total_loss 0.00207843561657,loss_cham 0.00207352009602,delta_strain 0.00069404440001, dleta_sigma: 0.00337649509311, strain_energy: 0.08450402319431
